,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,species
2,min_segment_dur_majority_vote,0.9803502291216484,1.2439024390243902,0.7181572953277838,2.26525505573116,75,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_1/StandardizeSpect,0.02,1.9649770878351516,Bird0,2,Bengalese Finch
3,none,0.9772227880978924,9.829268292682928,0.599420059953027,18.96726676804381,75,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.2777211902107464,Bird0,2,Bengalese Finch
6,min_segment_dur_majority_vote,0.9752946170276634,1.7317073170731707,0.6428755503176115,3.2886009301991503,75,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.47053829723366,Bird0,2,Bengalese Finch
7,none,0.9724155755062744,9.853658536585366,0.5490128636384014,18.21952878129889,75,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.7584424493725668,Bird0,2,Bengalese Finch
10,min_segment_dur_majority_vote,0.9794802181723608,1.3414634146341464,0.6835906925245899,2.69706826537505,75,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.051978182763925,Bird0,2,Bengalese Finch
11,none,0.975162530590414,11.585365853658535,0.5364742186485836,22.66505388503492,75,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.4837469409585977,Bird0,2,Bengalese Finch
14,min_segment_dur_majority_vote,0.9794108568041848,1.2195121951219512,0.6824867204999886,2.3318877348754,75,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_4/StandardizeSpect,0.02,2.0589143195815174,Bird0,2,Bengalese Finch
15,none,0.9757028371130227,9.51219512195122,0.5697653497405128,18.67540226151144,75,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_4/StandardizeSpect,0.02,2.4297162886977253,Bird0,2,Bengalese Finch
18,min_segment_dur_majority_vote,0.9796087635301745,1.048780487804878,0.6919447288785686,2.22604147947694,75,5,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_5/StandardizeSpect,0.02,2.0391236469825547,Bird0,2,Bengalese Finch
19,none,0.9761404949794718,8.975609756097562,0.582402289391568,18.17065927291479,75,5,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_5/StandardizeSpect,0.02,2.385950502052825,Bird0,2,Bengalese Finch
22,min_segment_dur_majority_vote,0.9797986549514756,1.170731707317073,0.6963241954426485,2.2854943823173697,75,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_6/StandardizeSpect,0.02,2.0201345048524333,Bird0,2,Bengalese Finch
